iso_code,country,updated,confirmed,deaths
BFA,Burkina Faso,04/20/20,11,0
BFA,Burkina Faso,04/21/20,5,2
BFA,Burkina Faso,04/22/20,19,0
BFA,Burkina Faso,04/23/20,9,1
BFA,Burkina Faso,04/24/20,7,2
BFA,Burkina Faso,04/25/20,10,0
BFA,Burkina Faso,04/26/20,3,0
BGD,Bangladesh,04/01/20,2,0
BGD,Bangladesh,04/02/20,3,1
BGD,Bangladesh,04/03/20,2,0
BGD,Bangladesh,04/04/20,5,0
BGD,Bangladesh,04/05/20,9,2
BGD,Bangladesh,04/06/20,18,1
BGD,Bangladesh,04/07/20,35,3
BGD,Bangladesh,04/08/20,41,5
BGD,Bangladesh,04/09/20,54,3
BGD,Bangladesh,04/10/20,112,1
BGD,Bangladesh,04/11/20,94,6
BGD,Bangladesh,04/12/20,58,3
BGD,Bangladesh,04/13/20,139,4
BGD,Bangladesh,04/14/20,182,5
BGD,Bangladesh,04/15/20,209,7
BGD,Bangladesh,04/16/20,219,4
BGD,Bangladesh,04/17/20,341,10
BGD,Bangladesh,04/18/20,266,15
BGD,Bangladesh,04/19/20,306,9
BGD,Bangladesh,04/20/20,312,7
BGD,Bangladesh,04/21/20,492,10
BGD,Bangladesh,04/22/20,434,9
BGD,Bangladesh,04/23/20,390,10
BGD,Bangladesh,04/24/20,414,7
BGD,Bangladesh,04/25/20,503,4
BGD,Bangladesh,04/26/20,309,9
BGR,Bulgaria,04/01/20,40,0
BGR,Bulgaria,04/02/20,23,2
BGR,Bulgaria,04/03/20,35,0
BGR,Bulgaria,04/04/20,28,4
BGR,Bulgaria,04/05/20,18,3
BGR,Bulgaria,04/06/20,28,3
BGR,Bulgaria,04/07/20,18,2
BGR,Bulgaria,04/08/20,28,1
BGR,Bulgaria,04/09/20,16,1
BGR,Bulgaria,04/10/20,31,0
BGR,Bulgaria,04/11/20,11,1
BGR,Bulgaria,04/12/20,26,3
BGR,Bulgaria,04/13/20,14,1
BGR,Bulgaria,04/14/20,10,3
BGR,Bulgaria,04/15/20,28,3
BGR,Bulgaria,04/16/20,34,1
BGR,Bulgaria,04/17/20,53,2
BGR,Bulgaria,04/18/20,46,3
BGR,Bulgaria,04/19/20,32,0
BGR,Bulgaria,04/20/20,37,2
BGR,Bulgaria,04/21/20,14,0
BGR,Bulgaria,04/22/20,46,2
BGR,Bulgaria,04/23/20,49,4
BGR,Bulgaria,04/24/20,73,3
BGR,Bulgaria,04/25/20,91,2
BGR,Bulgaria,04/26/20,59,1
BHR,Bahrain,04/01/20,52,0
BHR,Bahrain,04/02/20,2,0
BHR,Bahrain,04/03/20,74,0
BHR,Bahrain,04/04/20,0,0
BHR,Bahrain,04/05/20,45,0
BHR,Bahrain,04/06/20,12,0
BHR,Bahrain,04/07/20,56,0
BHR,Bahrain,04/08/20,55,1
BHR,Bahrain,04/09/20,12,0
BHR,Bahrain,04/10/20,64,0
BHR,Bahrain,04/11/20,111,1
BHR,Bahrain,04/12/20,42,0
BHR,Bahrain,04/13/20,96,0
BHR,Bahrain,04/14/20,225,1
BHR,Bahrain,04/15/20,167,0
BHR,Bahrain,04/16/20,145,0
BHR,Bahrain,04/17/20,27,0
BHR,Bahrain,04/18/20,44,0
BHR,Bahrain,04/19/20,29,0
BHR,Bahrain,04/20/20,100,0
BHR,Bahrain,04/21/20,34,0
BHR,Bahrain,04/22/20,66,0
BHR,Bahrain,04/23/20,34,0
BHR,Bahrain,04/24/20,210,1
BHR,Bahrain,04/25/20,301,0
BHR,Bahrain,04/26/20,71,0
BHS,Bahamas,04/01/20,1,0
BHS,Bahamas,04/02/20,6,1
BHS,Bahamas,04/03/20,3,0
BHS,Bahamas,04/04/20,0,2
BHS,Bahamas,04/05/20,4,1
BHS,Bahamas,04/06/20,1,1
BHS,Bahamas,04/07/20,4,0
BHS,Bahamas,04/08/20,3,1
BHS,Bahamas,04/09/20,4,1
BHS,Bahamas,04/10/20,1,1
BHS,Bahamas,04/11/20,1,0
BHS,Bahamas,04/12/20,4,0
BHS,Bahamas,04/13/20,1,0
BHS,Bahamas,04/14/20,2,0
BHS,Bahamas,04/15/20,0,0
BHS,Bahamas,04/16/20,4,0
BHS,Bahamas,04/17/20,1,1
BHS,Bahamas,04/18/20,1,0
BHS,Bahamas,04/19/20,3,0
BHS,Bahamas,04/20/20,2,0
BHS,Bahamas,04/21/20,4,0
BHS,Bahamas,04/22/20,1,0
BHS,Bahamas,04/23/20,5,0
BHS,Bahamas,04/24/20,2,2
BHS,Bahamas,04/25/20,1,0
BHS,Bahamas,04/26/20,5,0
BIH,Bosnia and Herzegovina,04/01/20,60,4
BIH,Bosnia and Herzegovina,04/02/20,51,1
BIH,Bosnia and Herzegovina,04/03/20,68,4
BIH,Bosnia and Herzegovina,04/04/20,54,1
BIH,Bosnia and Herzegovina,04/05/20,46,3
BIH,Bosnia and Herzegovina,04/06/20,31,3
BIH,Bosnia and Herzegovina,04/07/20,32,4
BIH,Bosnia and Herzegovina,04/08/20,86,4
BIH,Bosnia and Herzegovina,04/09/20,35,3
